shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
KOOTLK_D0,0,49.6234909,-116.9599667
KOOTLK_D0,1,49.623273,-116.9603212
KOOTLK_D0,2,49.6230631,-116.9606304
KOOTLK_D0,3,49.62297,-116.96066
KOOTLK_D0,4,49.62278,-116.96062
KOOTLK_D0,5,49.62257,-116.96052
KOOTLK_D0,6,49.6225,-116.96046
KOOTLK_D0,7,49.62242,-116.96035
KOOTLK_D0,8,49.62234,-116.96
KOOTLK_D0,9,49.62232,-116.9596
KOOTLK_D0,10,49.62233,-116.95902
KOOTLK_D0,11,49.62236,-116.95863
KOOTLK_D0,12,49.6225,-116.95751
KOOTLK_D0,13,49.62263,-116.95674
KOOTLK_D0,14,49.62291,-116.95447
KOOTLK_D0,15,49.62297,-116.95379
KOOTLK_D0,16,49.62296,-116.95272
KOOTLK_D0,17,49.62291,-116.95205
KOOTLK_D0,18,49.62281,-116.95111
KOOTLK_D0,19,49.6227,-116.94971
KOOTLK_D0,20,49.6227,-116.94932
KOOTLK_D0,21,49.62274,-116.94861
KOOTLK_D0,22,49.62287,-116.94753
KOOTLK_D0,23,49.62298,-116.94699
KOOTLK_D0,24,49.62317,-116.94636
KOOTLK_D0,25,49.62328,-116.94606
KOOTLK_D0,26,49.62336,-116.94588
KOOTLK_D0,27,49.62353,-116.94561
KOOTLK_D0,28,49.62388,-116.94516
KOOTLK_D0,29,49.62411,-116.9449
KOOTLK_D0,30,49.62508,-116.94399
KOOTLK_D0,31,49.6253,-116.94382
KOOTLK_D0,32,49.62567,-116.94347
KOOTLK_D0,33,49.62645,-116.94264
KOOTLK_D0,34,49.6278,-116.94127
KOOTLK_D0,35,49.62819,-116.94081
KOOTLK_D0,36,49.62866,-116.94021
KOOTLK_D0,37,49.6288,-116.93999
KOOTLK_D0,38,49.62929,-116.93936
KOOTLK_D0,39,49.63006,-116.93828
KOOTLK_D0,40,49.6302,-116.93814
KOOTLK_D0,41,49.6303,-116.93806
KOOTLK_D0,42,49.63054,-116.93772
KOOTLK_D0,43,49.63067,-116.93739
KOOTLK_D0,44,49.63096,-116.93693
KOOTLK_D0,45,49.63134,-116.93638
KOOTLK_D0,46,49.63194,-116.93558
