trip_id,route_id,service_id,shape_id,direction_id,block_id,trip_headsign,trip_short_name
ARROWLK_R01,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R02,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R03,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R04,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R05,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R06,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R07,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R08,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R09,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R10,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R11,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R12,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R13,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R14,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R15,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R16,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R17,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R18,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R19,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R20,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R21,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R22,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R23,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R24,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R25,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R26,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R27,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R28,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R29,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R30,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R31,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R32,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R33,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R34,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
ARROWLK_R35,ARROWLK,R,ARROWLK_D0,0,MV Columbia,Galena Bay,
ARROWLK_R36,ARROWLK,R,ARROWLK_D1,1,MV Columbia,Shelter Bay,
